timestamp,user,song,artist,cluster,mood
2026-07-09 19:28:26.866137,Guest,Believer,Imagine Dragons,3,Happy
2026-07-09 20:50:52.863571,Guest,Lover,Taylor Swift,0,Relax
2026-07-10 03:00:14.713004,Guest,Blinding Lights,The Weeknd,3,Happy
2026-07-10 03:02:14.057830,Guest,Dancing On My Own,Robyn,3,Happy
